SAFRA,LOCAL,DATA,CONDICAO,TRATAMENTO,DISTANCIA,REPETICAO,APIS,NÇO_APIS,TOTAL ABELHAS
21-22,ANHUMAS,03/12/2021,SOL,SIK+BEE,12.5,A,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,B,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,C,4,1,5
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,D,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,E,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,F,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,A,3,1,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,B,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,C,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,D,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,E,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,F,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,A,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,B,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,C,2,0,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,D,2,0,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,E,2,0,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,F,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,A,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,B,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,C,2,1,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,D,1,1,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,E,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,F,0,1,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,A,0,1,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,B,0,1,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,A,2,0,2
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,B,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,C,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,D,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,E,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,F,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,A,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,B,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,25,D,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,25,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,A,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,B,0,1,1
21-22,ANHUMAS,NA,SOL,SIK   ,50,C,0,1,1
21-22,ANHUMAS,NA,SOL,SIK   ,50,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,A,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,B,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,A,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,B,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,12.5,A,2,0,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,12.5,B,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,12.5,C,4,0,4
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,12.5,D,2,0,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,12.5,E,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,12.5,F,4,0,4
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,25,A,2,0,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,25,B,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,25,C,4,0,4
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,25,D,2,0,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,25,E,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,25,F,4,0,4
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,50,A,3,0,3
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,50,B,1,1,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,50,C,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,50,D,1,1,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,50,E,2,0,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,50,F,1,2,3
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,100,A,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,100,B,1,1,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,100,C,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,100,D,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,100,E,0,2,2
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,100,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,200,A,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,200,B,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,12.5 ,A,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL   ,12.5 ,B,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,12.5 ,C,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,12.5 ,D,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,12.5 ,E,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,12.5 ,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,25,A,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,25,B,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,25,C,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,25,D,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,25,E,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,25,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,50,A,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,50,B,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,50,C,1,0,1
21-22,ANHUMAS,NA,SOL,CONTROL   ,50,D,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,50,E,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,50,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,100,A,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,100,B,2,0,2
21-22,ANHUMAS,NA,SOL,CONTROL   ,100,C,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,100,D,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,100,E,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,100,F,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,200,A,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,200,B,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,200,C,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,200,D,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,200,E,0,0,0
21-22,ANHUMAS,NA,SOL,CONTROL   ,200,F,0,0,0
21-22,ANHUMAS,06/12/2021,NUBLADO,SIK+BEE,12.5,A,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,B,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,C,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,D,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,E,3,0,3
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,B,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,D,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,E,3,0,3
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,B,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,D,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,E,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,F,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,12.5,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,12.5,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,12.5,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK,12.5,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,12.5,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,12.5,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,25,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,25,B,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK,25,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,25,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,25,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,50,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,50,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,50,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,50,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,50,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,50,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,100,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,100,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK,200,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,D,2,0,2
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,E,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,E,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,B,1,2,3
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,C,1,1,2
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,D,1,2,3
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,E,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,B,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,F,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5 ,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5 ,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5 ,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5 ,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5 ,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5 ,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,B,1,1,2
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,200,F,0,0,0
21-22,ANHUMAS,09/12/2021,NUBLADO,SIK+BEE,12.5,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,B,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,D,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,E,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,12.5,F,3,0,3
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,C,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,25,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,E,1,0,1
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,50,F,2,0,2
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,100,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,12.5 ,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,12.5 ,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,12.5 ,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,12.5 ,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,12.5 ,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,12.5 ,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,25,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,25,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,25,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,25,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,25,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,50,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,50,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,50,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,50,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,50,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,50,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,100,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,100,D,0,1,1
21-22,ANHUMAS,NA,NUBLADO,SIK   ,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,100,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,SIK   ,200,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,B,2,0,2
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,12.5,F,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,A,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,B,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,C,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,25,F,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,E,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,50,F,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,100,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,12.5,F,1,0,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,25,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,A,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,E,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,50,F,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,A,0,1,1
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,B,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,C,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,D,0,0,0
21-22,ANHUMAS,NA,NUBLADO,CONTROL   ,100,E,0,0,0
